0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:18:51 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:19:19 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:19:41 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:20:04 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:20:15 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:20:27 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:20:42 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:20:54 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:21:03 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:21:18 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:21:29 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:21:46 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:31:14 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:32:41 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3246
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:32:51 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3246
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:33:03 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3246
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:33:17 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3246
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:45:37 +0530] "GET /ecommerce1/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:45:37 +0530] "GET /ecommerce1/ HTTP/1.1" 200 7861
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:45:46 +0530] "GET /ecommerce1/registerpage HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:46:08 +0530] "POST /ecommerce1/userSubmit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:46:08 +0530] "GET /ecommerce1/login HTTP/1.1" 200 3419
